"Genus","logFC","SE","p","q_ANCOM","significant","enriched_in","stat","p.value","q_IndVal","associated_group"
"Limosilactobacillus",-0.992185548210024,0.448822971291614,0.0382917984650541,0.130941787748594,FALSE,"Not significant",0.781480859495278,0.0154,0.180957142857143,"Diffuse"
"Massilia",-0.621866990940891,0.293049853105524,0.041927568103566,0.134603786642046,FALSE,"Not significant",0.755953108791658,0.1876,0.634191549295775,"Diffuse"
"Unclassified_Bacillaceae",-0.560279313968746,0.257143210919944,0.0437018822348939,0.134603786642046,FALSE,"Not significant",0.652246233107785,0.0716,0.388918181818182,"Diffuse"
"Incertae_Sedis.11",0.440020654604856,0.184458542807424,0.0441668674919214,0.134603786642046,FALSE,"Not significant",0.360693131131124,0.9283,1,"Diffuse"
"Fusobacterium",0.637102194418602,0.304312443432625,0.0423739149676879,0.134603786642046,FALSE,"Not significant",0.8503583079465,0.1859,0.634191549295775,"Diffuse"
"Halomonas",-0.758240644122177,0.36814359885833,0.0455202332161499,0.135502089573656,FALSE,"Not significant",0.829677735495651,0.0269,0.212787096774194,"Diffuse"
"Unclassified_NA.1",0.576527452687215,0.257562482653396,0.0519790433882236,0.151211762583923,FALSE,"Not significant",0.411008152485889,0.5791,0.883995541401274,"Diffuse"
"Delftia",-0.373103857794555,0.187877993823592,0.057286257575623,0.162947577103994,FALSE,"Not significant",0.567459773245519,0.9717,1,"Diffuse"
"Incertae_Sedis.4",0.38282218686915,0.171760513085348,0.0673757882708887,0.182084890806377,FALSE,"Not significant",0.526934577658888,0.595,0.88878125,"Diffuse"
"Unclassified_Lactobacillaceae",0.590872121816005,0.300781293512779,0.0682818340523913,0.182084890806377,FALSE,"Not significant",0.614158469902081,0.3037,0.729778217821782,"Diffuse"
"Incertae_Sedis.18",0.388525802100314,0.191300213286968,0.0671383161123268,0.182084890806377,FALSE,"Not significant",0.283605345320761,0.7052,0.931703867403315,"Diffuse"
"Acidibacter",0.349010565046212,0.169958243937673,0.070214109056392,0.18341644814731,FALSE,"Not significant",0.385239800676621,0.7459,0.958441397849462,"Diffuse"
"Unclassified_Comamonadaceae",-0.450728551877672,0.238590731296858,0.0734623364059415,0.185508752538831,FALSE,"Not significant",0.711740351203061,0.0276,0.212787096774194,"Diffuse"
"Ligilactobacillus",-1.12138053428817,0.610605462828044,0.0739136435896905,0.185508752538831,FALSE,"Not significant",0.973557172717102,5e-04,0.0307285714285714,"Diffuse"
"[Eubacterium]_sulci_group",0.461848359816229,0.254739301477194,0.07794727965099,0.191870226833206,FALSE,"Not significant",0.695687655326995,0.6209,0.899364242424242,"Diffuse"
"Achromobacter",0.399159608666543,0.220384618947258,0.0837876982998308,0.197085624742299,FALSE,"Not significant",0.61105156945202,0.4548,0.823463636363636,"Diffuse"
"Unclassified_Rhodocyclaceae",0.380886736789965,0.190899585211011,0.0862249608247557,0.197085624742299,FALSE,"Not significant",0.346947902177664,0.7962,0.996292146596859,"Diffuse"
"Howardella",-0.488968918397361,0.253525879472469,0.082615367891141,0.197085624742299,FALSE,"Not significant",0.425324900133965,0.6181,0.899364242424242,"Diffuse"
"Incertae_Sedis.12",0.41987453431684,0.236308320549465,0.085108088951499,0.197085624742299,FALSE,"Not significant",0.496163305500727,0.0258,0.212787096774194,"Diffuse"
"Sarcina",-0.678528193936011,0.383394274949222,0.0906219988093897,0.203502032414068,FALSE,"Not significant",0.588768428249606,0.8653,1,"Diffuse"
"Parvimonas",0.457176540585106,0.265082977506382,0.0923103938565312,0.203719489890276,FALSE,"Not significant",0.7226544410623,0.5511,0.860865584415584,"Diffuse"
"Incertae_Sedis.2",0.67543504766578,0.418297707129962,0.113685738596241,0.246640246446083,FALSE,"Not significant",0.299383131951897,0.5525,0.860865584415584,"Diffuse"
"Cutibacterium",-0.384547001377725,0.239476880859549,0.12325607830881,0.262946300392128,FALSE,"Not significant",0.660364861667686,0.0851,0.451975555555556,"Diffuse"
"Segatella",0.383222368000478,0.244531277566485,0.128307924520487,0.269236300633154,FALSE,"Not significant",0.591961161328893,0.8502,1,"Diffuse"
"Campylobacter",0.339437377882341,0.228392465954412,0.145476024521022,0.300337599011141,FALSE,"Not significant",0.716161953354623,0.4522,0.823463636363636,"Diffuse"
"Schaalia",0.394293858773447,0.271954203106409,0.154895389428199,0.305024766873992,FALSE,"Not significant",0.727508516890837,0.4183,0.793442063492063,"Diffuse"
"Incertae_Sedis.8",0.345365666200606,0.22996859055636,0.153906792998154,0.305024766873992,FALSE,"Not significant",0.408974740025968,0.4174,0.793442063492063,"Diffuse"
"Agrobacterium",-0.348705370888179,0.218543580761819,0.154611254442313,0.305024766873992,FALSE,"Not significant",0.532323404162494,0.0695,0.386290697674419,"Diffuse"
"Bacteroides",0.309688194247756,0.218745094575411,0.173033117137607,0.325709396964907,FALSE,"Not significant",0.554620815434911,0.5102,0.860865584415584,"Diffuse"
"Corynebacterium",-0.42206623613003,0.300317339642423,0.168473767448718,0.325709396964907,FALSE,"Not significant",0.663239336089093,0.9424,1,"Diffuse"
"Unclassified_Intrasporangiaceae",-0.302949861105913,0.215928891639653,0.17291275091166,0.325709396964907,FALSE,"Not significant",0.726169881617485,0.025,0.212787096774194,"Diffuse"
"Veillonella",-0.622504119780432,0.455325438660092,0.1786790894143,0.33146265862363,FALSE,"Not significant",0.886580024861787,0.1273,0.548022807017544,"Diffuse"
"Clostridium",0.361709534049714,0.26902270367268,0.193120727073701,0.35313504379191,FALSE,"Not significant",0.543857320637994,0.7427,0.958441397849462,"Diffuse"
"Unclassified_Enterobacteriaceae",-0.273121720223122,0.203735120222034,0.198784353652064,0.353394406492558,FALSE,"Not significant",0.776758850123867,6e-04,0.0307285714285714,"Diffuse"
"Incertae_Sedis.7",-0.301444882600162,0.21982175186459,0.19760217966467,0.353394406492558,FALSE,"Not significant",0.24356234207877,0.8935,1,"Diffuse"
"Incertae_Sedis.17",-0.258899735249976,0.190147560779509,0.203218894491733,0.356329020478655,FALSE,"Not significant",0.347231830174794,0.875,1,"Diffuse"
"Escherichia-Shigella",-0.240497694589504,0.183615936920141,0.20876345578076,0.361104355945098,FALSE,"Not significant",0.513840020032848,0.5547,0.860865584415584,"Diffuse"
"Leptotrichia",-0.423270458367379,0.347784487816944,0.231090625880402,0.394394668169219,FALSE,"Not significant",0.804088981691079,0.0656,0.3824,"Diffuse"
"Alistipes",-0.221888780686723,0.174947838281375,0.240347710354986,0.400691132687728,FALSE,"Not significant",0.385171915570245,0.6261,0.90061497005988,"Diffuse"
"Paracoccus",0.221388255099361,0.180212209725667,0.241040759507461,0.400691132687728,FALSE,"Not significant",0.424505317825548,0.8706,1,"Diffuse"
"Candidatus_Actinomarina",-0.259203352751058,0.20706149909081,0.245996493826288,0.403686553971344,FALSE,"Not significant",0.338374138690432,0.9546,1,"Diffuse"
"Mogibacterium",0.240096772051481,0.206672701598199,0.255514518845348,0.413998207749425,FALSE,"Not significant",0.621014876063702,0.5015,0.856132142857143,"Diffuse"
"Johnsonella",-0.319911286292519,0.286942767973084,0.285082047043506,0.456131275269609,FALSE,"Not significant",0.400130548601205,0.9718,1,"Diffuse"
"Candidatus_Udaeobacter",0.200057524094013,0.181750163777305,0.292605110018987,0.456749440029638,FALSE,"Not significant",0.418518548837966,0.8077,1,"Diffuse"
"Chujaibacter",0.260108199628164,0.230638955671824,0.292101270076686,0.456749440029638,FALSE,"Not significant",0.452338182827601,0.4019,0.793442063492063,"Diffuse"
"Oribacterium",0.1926586936698,0.192251395069938,0.326713493419248,0.498325411699724,FALSE,"Not significant",0.636155776592755,0.188,0.634191549295775,"Diffuse"
"Luteimonas",-0.191048537437013,0.183005917791526,0.327026051427944,0.498325411699724,FALSE,"Not significant",0.347213050151726,0.9022,1,"Diffuse"
"Gemella",0.241800565726329,0.247779063931843,0.334586412711976,0.503847774436857,FALSE,"Not significant",0.766279836964933,0.4386,0.8126,"Diffuse"
"Alloprevotella",0.365753521103413,0.386945145629321,0.350077175504869,0.521045098425851,FALSE,"Not significant",0.799598386127461,0.1529,0.571761538461538,"Diffuse"
