"Genus","indicator_for","stat","p.value","q"
"Unclassified_Lactobacillaceae","Diffuse",0.184727700098664,0.3526,0.983286956521739
"Incertae_Sedis.42","Diffuse",0.215913758704082,0.3879,0.983286956521739
"Parvimonas","Diffuse",0.152570324614171,0.3612,0.983286956521739
"Peptoanaerobacter","Intestinal",0.147847169603224,0.3924,0.983286956521739
"[Eubacterium]_yurii_group","Diffuse",0.202632964266807,0.4013,0.983286956521739
"Mogibacterium","Intestinal",0.136685776594668,0.3988,0.983286956521739
"Incertae_Sedis.53","Diffuse",0.165369696970453,0.3771,0.983286956521739
"Incertae_Sedis.62","Intestinal",0.129220903091205,0.3906,0.983286956521739
"Campylobacter","Diffuse",0.141584233027593,0.3932,0.983286956521739
"Peredibacter","Diffuse",0.185712239303592,0.3833,0.983286956521739
"Desulfatiglans","Diffuse",0.212274904970233,0.3915,0.983286956521739
"Desulfobacca","Diffuse",0.184516975476806,0.3902,0.983286956521739
"Desulfobulbus","Diffuse",0.191165546078191,0.3984,0.983286956521739
"Incertae_Sedis.82","Diffuse",0.190599111090873,0.4018,0.983286956521739
"Unclassified_Acidobacteriaceae_(Subgroup_1)","Intestinal",0.15948433045274,0.346,0.983286956521739
"Incertae_Sedis.87","Intestinal",0.174592252330695,0.3813,0.983286956521739
"Anoxybacillus","Diffuse",0.216482562740727,0.4049,0.984756790123457
"Incertae_Sedis.2","Intestinal",0.121556478274494,0.4093,0.985480487804878
"Gemella","Diffuse",0.141049618841418,0.4102,0.985480487804878
"Rikenellaceae_RC9_gut_group","Diffuse",0.128153591536504,0.449,0.9892
"Antarcticibacterium","Diffuse",0.163474965810182,0.4771,0.9892
"Bergeyella","Intestinal",0.122532932283884,0.4591,0.9892
"DBS1","Intestinal",0.18174384407918,0.4668,0.9892
"Unclassified_NA.3","Diffuse",0.134310117179207,0.4644,0.9892
"Acidiferrimicrobium","Intestinal",0.143107693352173,0.4761,0.9892
"Mycobacterium","Intestinal",0.163415906771461,0.4579,0.9892
"Rhodococcus","Intestinal",0.182454826571177,0.4686,0.9892
"Castellaniella","Intestinal",0.127953686913153,0.4443,0.9892
"Dechloromonas","Diffuse",0.166882852845003,0.4733,0.9892
"Incertae_Sedis.41","Intestinal",0.129350346206863,0.4946,0.9892
"Auricoccus-Abyssicoccus","Intestinal",0.174765736362571,0.4617,0.9892
"Streptococcus","Intestinal",0.113748120461992,0.4926,0.9892
"Incertae_Sedis.43","Intestinal",0.128094305413875,0.4799,0.9892
"Anaerococcus","Intestinal",0.126453845255136,0.4911,0.9892
"Mediterraneibacter","Diffuse",0.189339229416836,0.4674,0.9892
"Shuttleworthia","Diffuse",0.175232880735208,0.4683,0.9892
"NK4A214_group","Intestinal",0.185130975551901,0.4625,0.9892
"Unclassified_Xanthobacteraceae","Diffuse",0.166019057744592,0.4205,0.9892
"Hypericibacter","Intestinal",0.151244876503411,0.4182,0.9892
"Methylobacterium","Intestinal",0.130507915562379,0.4598,0.9892
"Pajaroellobacter","Diffuse",0.122765490804308,0.4922,0.9892
"Incertae_Sedis.74","Diffuse",0.145459165751593,0.4479,0.9892
"Desulfomicrobium","Diffuse",0.1871701266755,0.4728,0.9892
"Subgroup_10","Diffuse",0.158779918183993,0.417,0.9892
"Incertae_Sedis.79","Intestinal",0.145251094245932,0.4631,0.9892
"Incertae_Sedis.81","Diffuse",0.190530118460163,0.4655,0.9892
"Incertae_Sedis.83","Intestinal",0.168587466189623,0.457,0.9892
"Thermomonas","Intestinal",0.105091614062525,0.4926,0.9892
"JGI_0001001-H03","Intestinal",0.151250507019723,0.483,0.9892
"Candidatus_Nitrosopumilus","Diffuse",0.172242657424837,0.4328,0.9892
"Incertae_Sedis.90","Diffuse",0.162062166863341,0.4563,0.9892
"Candidatus_Nitrosocosmicus","Diffuse",0.166147624876623,0.4666,0.9892
"Mycoplasma","Diffuse",0.107258657911737,0.5413,0.989560185185185
"Incertae_Sedis.7","Intestinal",0.125342568381598,0.5009,0.989560185185185
"Flavisolibacter","Intestinal",0.138898100170054,0.5362,0.989560185185185
"Chujaibacter","Intestinal",0.142913143576944,0.5221,0.989560185185185
"Incertae_Sedis.24","Intestinal",0.138850881558649,0.5209,0.989560185185185
"Incertae_Sedis.25","Diffuse",0.124027086321727,0.5404,0.989560185185185
"Gaiella","Intestinal",0.122862728190827,0.5386,0.989560185185185
"Acidothermus","Diffuse",0.152172960363479,0.5183,0.989560185185185
"Actinomyces","Diffuse",0.107400341007297,0.519,0.989560185185185
"Nocardioides","Intestinal",0.13164801249676,0.5386,0.989560185185185
"Achromobacter","Diffuse",0.130346641274477,0.4995,0.989560185185185
"MND1","Intestinal",0.139841968226199,0.5388,0.989560185185185
"Megamonas","Intestinal",0.120186190063199,0.5365,0.989560185185185
"Howardella","Intestinal",0.133376096830617,0.5055,0.989560185185185
"Ruminococcus","Diffuse",0.108557979588786,0.5425,0.989560185185185
"Incertae_Sedis.52","Diffuse",0.133359538138547,0.5062,0.989560185185185
"Incertae_Sedis.61","Diffuse",0.122776365801856,0.5165,0.989560185185185
"Brucella","Intestinal",0.112102385860359,0.515,0.989560185185185
"Neochlamydia","Intestinal",0.138458624934116,0.5402,0.989560185185185
"Unclassified_NA.1","Intestinal",0.00342626880452105,0.9867,1
"Candidatus_Saccharimonas","Intestinal",0.00192648947509381,0.9949,1
"Incertae_Sedis.3","Intestinal",0.0268075313272306,1,1
"Metamycoplasma","Diffuse",0.124184392361876,0.9256,1
"Incertae_Sedis.5","Diffuse",0.140054596985351,0.6234,1
"Cytophaga","Intestinal",0.107594679722962,0.7743,1
"Sphingobacterium","Intestinal",0.0626995479549746,0.7598,1
"Alistipes","Intestinal",0.05456581406154,0.7662,1
"Incertae_Sedis.6","Diffuse",0.0930251095668257,0.6469,1
"Segatella","Diffuse",0.0400300582782812,0.8102,1
"Unclassified_Prevotellaceae","Intestinal",0.0221093481901324,0.8949,1
"Prevotella","Diffuse",0.013997885761518,0.9302,1
"Lentimicrobium","Intestinal",0.0225549173905293,0.9492,1
"Incertae_Sedis.8","Intestinal",0.11254109145737,0.779,1
"Incertae_Sedis.9","Intestinal",0.0475967639222588,0.9004,1
"Incertae_Sedis.11","Intestinal",0.0893701950293089,0.6136,1
"Incertae_Sedis.12","Intestinal",0.0301698750157238,0.8217,1
"Incertae_Sedis.13","Diffuse",0.0256237999140419,0.9828,1
"Dinghuibacter","Diffuse",0.0520746075707283,0.6919,1
"Incertae_Sedis.14","Intestinal",0.0827558735965965,0.6654,1
"Incertae_Sedis.15","Diffuse",0.0336640701924212,0.6899,1
"Incertae_Sedis.16","Intestinal",0.11141101387803,0.5688,1
"NS4_marine_group","Intestinal",0.0821811295783328,0.707,1
"NS5_marine_group","Diffuse",0.0836546834069718,1,1
"Unclassified_Flavobacteriaceae","Diffuse",0.00948935463069894,0.9515,1
"Gramella","Diffuse",0.104014516364782,0.6895,1
"Salinimicrobium","Diffuse",0.0788430266255387,0.9612,1
"Chryseobacterium","Diffuse",0.08533545297274,0.6809,1
"Incertae_Sedis.17","Intestinal",0.0212156406223445,0.9251,1
"ADurb.Bin063-1","Intestinal",0.128311990989844,0.6193,1
"Candidatus_Udaeobacter","Diffuse",0.0772562169640147,0.6697,1
"Chthoniobacter","Diffuse",0.0318774516769384,0.9338,1
"Candidatus_Solibacter","Intestinal",0.0626258897082125,0.7031,1
"Incertae_Sedis.18","Intestinal",0.0303038219182703,1,1
"Incertae_Sedis.19","Diffuse",0.130544595876439,0.7692,1
"Tepidimonas","Intestinal",0.0799922683282258,0.6395,1
"Delftia","Intestinal",0.0596106767813183,0.7168,1
"Candidatus_Nitrosoarchaeum","Intestinal",0.0446216595075055,0.8146,1
"Arenimonas","Intestinal",0.0419208026202885,0.6975,1
"Rhodanobacter","Diffuse",0.00937368634590945,0.9614,1
"Candidatus_Competibacter","Diffuse",0.0843572545658056,0.9254,1
"Acidithiobacillus","Intestinal",0.0792560625387541,0.8561,1
"Alteromonas","Intestinal",0.0279715575134316,0.9124,1
"Methylophaga","Diffuse",0.0430168620200717,1,1
"OM60(NOR5)_clade","Intestinal",0.00843426790584752,1,1
"Incertae_Sedis.20","Diffuse",0.0880280719629145,0.7446,1
"Rheinheimera","Intestinal",0.101377857433316,0.7695,1
"Unclassified_Erwiniaceae","Diffuse",0.104886516935643,0.9256,1
"Escherichia-Shigella","Intestinal",0.0690474697771161,0.727,1
"Haemophilus","Intestinal",0.0421457572806553,0.7942,1
"Unclassified_Pasteurellaceae","Intestinal",0.0629357375874692,0.6846,1
"Aggregatibacter","Diffuse",0.0608316053360722,0.7656,1
"Aeromonas","Intestinal",0.07052147790985,0.7736,1
"Pseudoalteromonas","Intestinal",0.106560177233322,0.5555,1
"Enhydrobacter","Diffuse",0.0160129291412252,0.9541,1
"Colwellia","Diffuse",0.103101629436834,0.9291,1
"Incertae_Sedis.22","Intestinal",0.113717435578737,0.6514,1
"Acidibacter","Diffuse",0.0438284339077616,0.8201,1
"Incertae_Sedis.23","Intestinal",0.0816913287123905,0.6401,1
"Cardiobacterium","Diffuse",0.0459100842509888,0.7893,1
"Incertae_Sedis.26","Diffuse",0.0398211138013233,0.9318,1
"Incertae_Sedis.27","Diffuse",0.0454767648133424,0.9002,1
"Incertae_Sedis.28","Intestinal",0.0057495192658973,0.9664,1
"Incertae_Sedis.29","Diffuse",0.0137053095621393,1,1
"Incertae_Sedis.30","Intestinal",0.00789411783933138,1,1
"Incertae_Sedis.31","Diffuse",0.107158395845935,0.6857,1
"Incertae_Sedis.32","Diffuse",0.0417131549696403,0.8915,1
"Rubrobacter","Intestinal",0.0585357530948758,0.7293,1
"Incertae_Sedis.33","Diffuse",0.0122630091354769,0.944,1
"Incertae_Sedis.34","Diffuse",0.00757585475822035,1,1
"Incertae_Sedis.35","Diffuse",0.0476575533375233,0.8619,1
"Candidatus_Actinomarina","Diffuse",0.0362600879982323,0.948,1
"Incertae_Sedis.38","Diffuse",0.0401465835045423,1,1
"Corynebacterium","Diffuse",0.0455279452862299,0.8608,1
"Pseudoclavibacter","Intestinal",0.00419067920218585,1,1
"Schaalia","Intestinal",0.0696978204268312,0.6652,1
"Brachybacterium","Intestinal",0.036565568084046,1,1
"Rothia","Intestinal",0.00912070067727197,0.955,1
